編號,日期,星期,總運量,資料更新時間
1,20240701,星期一,37453,20240807T090000
2,20240702,星期二,36851,20240807T090000
3,20240703,星期三,37680,20240807T090000
4,20240704,星期四,37877,20240807T090000
5,20240705,星期五,44688,20240807T090000
6,20240706,星期六,39610,20240807T090000
7,20240707,星期日,36743,20240807T090000
8,20240708,星期一,37715,20240807T090000
9,20240709,星期二,38344,20240807T090000
10,20240710,星期三,38548,20240807T090000
11,20240711,星期四,39788,20240807T090000
12,20240712,星期五,48018,20240807T090000
13,20240713,星期六,45856,20240807T090000
14,20240714,星期日,41780,20240807T090000
15,20240715,星期一,39695,20240807T090000
16,20240716,星期二,38323,20240807T090000
17,20240717,星期三,38802,20240807T090000
18,20240718,星期四,39321,20240807T090000
19,20240719,星期五,47089,20240807T090000
20,20240720,星期六,44482,20240807T090000
21,20240721,星期日,38580,20240807T090000
22,20240722,星期一,39264,20240807T090000
23,20240723,星期二,40191,20240807T090000
24,20240724,星期三,10715,20240807T090000
25,20240725,星期四,5594,20240807T090000
26,20240726,星期五,37977,20240807T090000
27,20240727,星期六,40407,20240807T090000
28,20240728,星期日,37879,20240807T090000
29,20240729,星期一,42003,20240807T090000
30,20240730,星期二,41946,20240807T090000
31,20240731,星期三,43140,20240807T090000
