"事件時間","事件細目"
"2024-09-02T12:32:51Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-01T05:52:51Z","{""服務項目"":""POS"",""機器人數量"":17,""部門"":"台中"}"
"2024-09-01T06:38:24Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-02T07:33:27Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T05:31:51Z","{""服務項目"":""POS"",""機器人數量"":11,""部門"":"台中"}"
"2024-09-02T17:03:27Z","{""機器人數量"":2,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T12:26:51Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-02T12:08:27Z","{""服務項目"":""POS"",""機器人數量"":11,""部門"":"台中"}"
"2024-09-02T06:42:27Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-01T16:53:27Z","{""機器人數量"":2,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T05:25:51Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-02T05:49:51Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T12:41:24Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T05:13:51Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T02:02:51Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-02T23:29:37Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T23:30:37Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T14:51:27Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T10:17:37Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-02T05:43:51Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T08:43:37Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-02T06:22:27Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T07:50:25Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-02T09:02:38Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T10:01:37Z","{""服務項目"":""POS"",""機器人數量"":17,""部門"":"台中"}"
"2024-09-03T05:43:51Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-02T01:56:27Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-01T09:23:38Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T05:54:51Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-03T06:35:27Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T22:08:37Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-03T05:55:51Z","{""服務項目"":""POS"",""機器人數量"":5,""部門"":"台中"}"
"2024-09-01T14:36:27Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T05:56:27Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-03T04:55:51Z","{""服務項目"":""POS"",""機器人數量"":15,""部門"":"台中"}"
"2024-09-01T05:46:51Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T05:37:51Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T22:18:38Z","{""服務項目"":""POS"",""機器人數量"":5,""部門"":"台中"}"
"2024-09-04T12:47:51Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T08:42:38Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T05:25:51Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T04:05:37Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T04:07:37Z","{""服務項目"":""POS"",""機器人數量"":16,""部門"":"台中"}"
"2024-09-03T04:49:27Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T12:15:51Z","{""服務項目"":""POS"",""機器人數量"":14,""部門"":"台中"}"
"2024-09-03T05:49:51Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T01:47:27Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-02T12:20:51Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-05T11:58:27Z","{""服務項目"":""POS"",""機器人數量"":11,""部門"":"台中"}"
"2024-09-01T06:51:25Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-02T13:37:27Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T13:13:51Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T06:48:51Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T08:32:37Z","{""服務項目"":""POS"",""機器人數量"":5,""部門"":"台中"}"
"2024-09-02T04:54:51Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T06:12:25Z","{""服務項目"":""POS"",""機器人數量"":14,""部門"":"台中"}"
"2024-09-02T08:08:38Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-01T06:57:51Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T02:17:27Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-02T05:19:27Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-02T05:00:51Z","{""服務項目"":""POS"",""機器人數量"":16,""部門"":"台中"}"
"2024-09-01T15:57:27Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T10:49:38Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-03T05:37:51Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-05T06:00:51Z","{""服務項目"":""POS"",""機器人數量"":5,""部門"":"台中"}"
"2024-09-01T08:56:37Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-01T05:40:25Z","{""服務項目"":""POS"",""機器人數量"":19,""部門"":"台中"}"
"2024-09-01T22:44:37Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-03T11:56:27Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T12:41:51Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-01T06:18:51Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T09:10:37Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-01T12:47:51Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T10:08:37Z","{""服務項目"":""POS"",""機器人數量"":11,""部門"":"台中"}"
"2024-09-05T15:07:27Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-03T22:04:38Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T05:31:51Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-02T22:04:37Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T12:28:24Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T10:47:37Z","{""機器人數量"":19,""服務項目"":""POS"",""部門"":"台中"}"
